mean_daily_rv,mean_daily_rv_red,daily_rms_binned_rvs,daily_rms_binned_rvs_red,num_obs_fit,day_mask
-1.204024229071604,0.6950033887950777,0.7819672823847893,1.120865479820137,183,true
-0.8933008502864025,-0.2726093423345114,0.5297135350749796,1.2753563807953836,120,true
-1.482090284523467,1.003746970510208,0.3217665440246693,0.9542684547282959,183,true
-2.166183033904527,-0.8612431517734372,0.647393631006725,1.1245102754875969,198,true
-1.5680245187998407,0.007554774883866411,0.6607201812960795,1.2997196735685965,118,true
-1.5541469026637746,1.1947134180736239,0.5689531569656695,1.2167905102940615,133,true
-2.1661180711444956,-0.2907467104242914,0.3771775753736756,1.03248122468894,138,true
-2.56042011964169,-0.7704963901847042,0.38534648666901244,1.0173667791601688,80,false
-1.9171354831670522,-0.7771685457227324,0.5616731369842053,1.2616295833867022,205,true
-1.4510765702899535,0.9893824144889471,0.5603964385100177,1.1126034355052996,200,true
-1.7115372767190655,-0.8487878731345762,0.40348451173389116,1.0282979374521715,185,true
-1.5219074387984037,0.014044649634918457,0.7862202301033663,1.1404118596496788,187,true
-2.332279725373362,-0.15774790016099535,0.553945677796505,1.0541854827561803,213,true
-1.967396767756288,-0.33460575868756687,0.5586165899056855,1.267808300554217,199,true
-3.1021559676626116,-2.0163336770998455,0.8978507109288463,1.1317975409703798,190,true
-0.8940639331664183,-0.3836296819106364,0.4094854949033437,0.9906211183771528,119,false
-1.3361326601525618,-0.6944886390434963,0.2930501547368364,0.9259777834561657,59,false
-1.62470391723764,0.7104652881260888,0.45635730239857475,1.0093537369842511,194,true
-2.1156077299648177,-2.4950697422304717,0.6194569379011736,0.7149335431087677,121,true
-2.0837604147510174,-1.1213969282875624,0.4373117916332759,1.0739900926770167,143,true
-3.024994949047514,-2.242308936470655,0.7184211636402541,0.8156381482208114,186,true
-2.968837458050222,-1.7669097839398704,0.4876629272778592,1.1436560392065838,111,true
-2.9072531528132157,-0.5022109636947383,0.5251976625335598,1.1045895237664503,218,true
-1.4626379296115308,-0.4634580246077648,0.469759583844371,1.1442565664769293,206,true
-1.8284315320665634,-0.3824946715563922,0.5231299265022704,1.1407701899518758,64,false
-1.7255746580067068,-0.0077489266374074495,0.34960198160969336,0.8936430618140602,113,true
-2.522460282807234,-1.9791055140807585,0.5265882775427805,1.435766781672651,223,true
-1.825132557838134,-0.7300408646826163,0.904450893970796,1.438192800744772,202,true
-2.4241580254653323,-1.3365754996360613,0.44609637841399974,1.3891052778297939,203,true
-2.3297979154274175,-2.7359633194206716,0.20450042968884263,0.7548709985084078,22,false
-2.182575077320881,-0.530332728106986,0.5986141879963679,1.2705508185684495,214,true
-1.698574440830757,-0.6712040936349801,0.5377306850168666,1.4637033986919867,195,true
-0.8726067197827309,0.1844465726041813,0.6644280786781114,1.1346469617038937,176,true
-2.21129477401012,-2.420043774261881,0.4611057334802673,1.0386367498212672,187,true
-2.2471084634052896,-0.24097204055365212,0.38844875995287714,0.9438279697090058,121,true
-1.5821933040710987,-0.6530790919837581,0.3792915546085296,1.013748911996567,218,true
-1.7393755417189032,-1.1215564959969722,0.43179576616181703,1.3809725602615217,224,true
-2.3386012832231864,-0.22030732777530632,0.520759687254951,1.122255726212651,109,false
-2.442881272929612,0.06106734106516504,0.5361902104333196,1.288919277146025,115,false
-3.593945409550836,-2.7399511759182658,0.29874359658062966,1.0785116547747347,218,true
-3.3758225150411976,-2.2872613482114,0.5276155053645293,1.29462025763207,166,true
-1.8944893914306595,0.03780321931181209,0.5819722778694643,1.3905359865352556,88,false
-1.356018320980061,-0.41403613971851155,0.0,0.0,21,false
-1.7644541582171267,0.30526780882939797,0.43608442354117694,0.732404214808279,223,true
-2.1390542309733815,-1.2328631477233845,0.4704387610318945,0.900378608454934,158,true
-2.2355351235389667,-1.2342320965337645,0.5891450850057708,0.8846606037549182,226,true
-1.7792376570906783,-1.152644456462501,0.36316127734923326,0.9451342341544523,85,false
-1.4838168121374964,-1.4892479386575532,0.339984933091935,0.39921689871413524,54,false
-1.4026392269742445,-1.127734865157862,0.3400458986216671,1.2232397344520523,192,true
-1.4206181628862595,0.4227314180685117,0.3393245513242055,0.6994694362477424,169,true
-2.329951681754863,-0.2314815547741925,0.4304112480736255,1.2623903045104383,210,true
-1.8358408854065407,-2.3883699761997956,0.36355975872791674,1.0095404897186344,25,false
-1.2316761378199106,1.8017588591320148,0.34319893742700386,1.1470122051767457,217,true
-0.7463269896577467,1.3522153020081658,0.41897610019546433,0.8889176281104187,100,true
-2.687287564148443,-2.2586132366671143,0.2923747772072298,0.9417195659236868,116,true
-2.2081329094679467,-0.8472586812064898,0.4358730375580177,1.056454125756592,226,true
-1.754916115705244,-0.7072950596797118,0.4432128039697133,1.0136615615775124,223,true
-2.7429503717397385,-0.23711381305321827,0.4584380310820001,0.9771493924436419,213,true
-3.2719358316298033,-2.573902416880223,0.3536233921439946,1.208844327092666,222,true
-1.4816580591660582,-0.03808351351375433,0.6161798344553935,1.0523566287968542,127,true
-1.4494599303870523,1.0732014912176935,0.3680784735486799,1.0412182193821637,201,true
-2.036452812149088,-0.2819936025465354,0.5870900871097534,1.1736326168431033,222,true
-2.477540695570739,-0.18542373351558455,0.41663191640324615,1.3000987917734477,218,true
-2.1242086030610254,-0.3485721669568174,0.4432712813668389,1.1042218609428167,148,true
-2.2332521106707377,-1.3694700938756177,0.3973926187274631,1.0781531901136725,224,true
-1.642724773298279,0.03853773785891268,0.4212909973423199,1.4242365197551898,194,true
-2.2436517219075918,-2.05998047744675,0.5288834851223433,1.2612856629107134,226,true
