date,rv_optical,rv_red,Δrv,red_detrended,num_obs_fit,day_mask
2021-01-01,-1.204024229071604,0.6950033887950777,1.8990276178666816,-0.5441089845820443,183,true
2021-01-02,-0.8933008502864025,-0.2726093423345114,0.6206915079518911,-0.45234381625467834,120,true
2021-01-03,-1.482090284523467,1.003746970510208,2.485837255033675,-0.5874464610367871,183,true
2021-01-04,-2.166183033904527,-0.8612431517734372,1.3049398821310896,-1.405138557322617,198,true
2021-01-05,-1.5680245187998407,0.007554774883866411,1.5755792936837072,-0.809671373222054,118,true
2021-01-06,-1.5541469026637746,1.1947134180736239,2.7488603207373985,-0.2728359620906873,133,true
2021-01-07,-2.1661180711444956,-0.2907467104242914,1.8753713607202043,-1.1529224953640969,138,true
2021-01-08,-2.56042011964169,-0.7704963901847042,1.7899237294569859,-1.6025691279472225,80,false
2021-01-09,-1.9171354831670522,-0.7771685457227324,1.1399669374443198,-1.231988624418551,205,true
2021-01-10,-1.4510765702899535,0.9893824144889471,2.4404589847789007,-0.30997781832708404,200,true
2021-01-11,-1.7115372767190655,-0.8487878731345762,0.8627494035844894,-1.0222155568296327,185,true
2021-01-12,-1.5219074387984037,0.014044649634918457,1.5359520884333222,-0.6836171457487425,187,true
2021-01-15,-2.332279725373362,-0.15774790016099535,2.174531825212367,-1.5832232386850529,213,true
2021-01-16,-1.967396767756288,-0.33460575868756687,1.6327910090687212,-1.1494856031668768,199,true
2021-01-17,-3.1021559676626116,-2.0163336770998455,1.0858222905627661,-2.7954054663192984,190,true
2021-01-23,-0.8940639331664183,-0.3836296819106364,0.5104342512557819,-0.4115076529713545,119,false
2021-01-29,-1.3361326601525618,-0.6944886390434963,0.6416440211090655,-0.7358730426422821,59,false
2021-01-30,-1.62470391723764,0.7104652881260888,2.3351692053637287,-0.6999476561609075,194,true
2021-01-31,-2.1156077299648177,-2.4950697422304717,-0.379462012265654,-2.148619041923807,121,true
2021-02-03,-2.0837604147510174,-1.1213969282875624,0.9623634864634549,-1.7288505955092681,143,true
2021-02-04,-3.024994949047514,-2.242308936470655,0.7826860125768587,-2.623651680572989,186,true
2021-02-05,-2.968837458050222,-1.7669097839398704,1.2019276741103515,-2.2945356086007926,111,true
2021-02-06,-2.9072531528132157,-0.5022109636947383,2.4050421891184772,-1.7629428475113922,218,true
2021-02-08,-1.4626379296115308,-0.4634580246077648,0.999179905003766,-1.0878642551247653,206,true
2021-02-09,-1.8284315320665634,-0.3824946715563922,1.4459368605101712,-1.210222002993062,64,false
2021-02-10,-1.7255746580067068,-0.0077489266374074495,1.7178257313692993,-0.7043611783452381,113,true
2021-02-11,-2.522460282807234,-1.9791055140807585,0.5433547687264757,-2.233404785335288,223,true
2021-02-12,-1.825132557838134,-0.7300408646826163,1.095091693155518,-1.1419150514004204,202,true
2021-02-14,-2.4241580254653323,-1.3365754996360613,1.087582525829271,-1.6673977290883317,203,true
2021-02-17,-2.3297979154274175,-2.7359633194206716,-0.40616540399325407,-2.5314853802887485,22,false
2021-02-18,-2.182575077320881,-0.530332728106986,1.6522423492138953,-1.0509698395747575,214,true
2021-02-20,-1.698574440830757,-0.6712040936349801,1.027370347195777,-0.8088184048932875,195,true
2021-02-21,-0.8726067197827309,0.1844465726041813,1.0570532923869123,-0.5489753437795424,176,true
2021-02-22,-2.21129477401012,-2.420043774261881,-0.2087490002517609,-2.0725589158053306,187,true
2021-02-23,-2.2471084634052896,-0.24097204055365212,2.0061364228516374,-1.187249936415928,121,true
2021-02-24,-1.5821933040710987,-0.6530790919837581,0.9291142120873406,-1.018216982301099,218,true
2021-02-25,-1.7393755417189032,-1.1215564959969722,0.617819045721931,-1.4095988470604794,224,true
2021-02-26,-2.3386012832231864,-0.22030732777530632,2.11829395544788,-1.1946536273523827,109,false
2021-02-27,-2.442881272929612,0.06106734106516504,2.503948613994777,-1.1161341856666294,115,false
2021-03-01,-3.593945409550836,-2.7399511759182658,0.8539942336325703,-3.007477032196184,218,true
2021-03-02,-3.3758225150411976,-2.2872613482114,1.0885611668297974,-2.9086953165527474,166,true
2021-03-03,-1.8944893914306595,0.03780321931181209,1.9322926107424716,-0.9560226925887648,88,false
2021-03-04,-1.356018320980061,-0.41403613971851155,0.9419821812615494,-0.522526963368489,21,false
2021-03-05,-1.7644541582171267,0.30526780882939797,2.0697219670465246,-0.5129624161085413,223,true
2021-03-06,-2.1390542309733815,-1.2328631477233845,0.9061910832499971,-1.3791905265315787,158,true
2021-03-10,-2.2355351235389667,-1.2342320965337645,1.0013030270052021,-1.5022630602520244,226,true
2021-03-11,-1.7792376570906783,-1.152644456462501,0.6265932006281774,-1.2344989709940797,85,false
2021-03-12,-1.4838168121374964,-1.4892479386575532,-0.005431126520056839,-0.8351579252322296,54,false
2021-03-14,-1.4026392269742445,-1.127734865157862,0.27490436181638245,-0.9286614632723951,192,true
2021-03-17,-1.4206181628862595,0.4227314180685117,1.8433495809547713,-0.4547958643693243,169,true
2021-03-20,-2.329951681754863,-0.2314815547741925,2.0984701269806707,-1.3171186913365032,210,true
2021-03-21,-1.8358408854065407,-2.3883699761997956,-0.552529090793255,-1.5596161632144192,25,false
2021-03-22,-1.2316761378199106,1.8017588591320148,3.033434996951925,0.6550787884002085,217,true
2021-03-23,-0.7463269896577467,1.3522153020081658,2.0985422916659124,0.5015668526079602,100,true
2021-03-26,-2.687287564148443,-2.2586132366671143,0.4286743274813287,-2.2326071675155768,116,true
2021-03-27,-2.2081329094679467,-0.8472586812064898,1.3608742282614568,-1.4824737531973002,226,true
