date,rv_daily_corrected,rv_clean_dcpca,rv_clean_fiesta,rv_clean_gauss_hermite,rv_clean_scalpels
2021-01-01,-1.2520205282084267,0.5055010071592397,-0.019063624305941218,0.6163531737524396,0.23068629634337867
2021-01-03,-1.5482970422682472,1.2095284970847888,0.5031714153376332,0.969198473502801,0.212865428275677
2021-01-04,-2.1742966329592184,0.2809662378926536,1.4908485613626814,0.22908401825283176,0.3819285579739926
2021-01-07,-2.375631631926417,0.5977191879909174,0.21773629273377315,0.3787819660580831,0.4137017737308497
2021-01-09,-1.91112778855422,1.2166627012442737,0.7528894673215305,0.45865798051585904,0.00487497886967958
2021-01-10,-1.4469049520969273,1.3157376518344002,1.1114539434541433,0.841455360523959,0.3118570074076388
2021-01-11,-1.6282711875640021,1.3070405387577613,-0.08768122858926386,1.0381151898339902,0.13984880241753217
2021-01-12,-1.5050675282515988,0.9533364451231572,0.5200823738214209,0.6157770738672144,0.15969213209973532
2021-01-15,-2.336458264681165,1.0100238137285875,-0.7704365756586213,0.6598993044212604,0.17722259539209517
2021-01-16,-2.0045300087762015,1.0070026974464807,0.28354849788588865,0.4849249082936318,0.071686384036866
2021-01-17,-3.058961529683039,-0.5037393944003377,-0.576371982480707,-0.45266798987332146,0.2663906045178237
2021-01-30,-1.5529282665031563,0.7830319400603865,0.2825707486235385,0.5632865653980528,-0.09453038128913249
2021-01-31,-2.0498158469617076,0.17252053061292627,-0.05409573666247702,0.10709835605970386,0.005460621720317249
2021-02-03,-2.0646342358034495,1.3935055110695864,1.326824459908853,0.6663632686813927,-0.09841602350741141
2021-02-04,-3.023764821031278,-0.16990666166064816,0.18632722485516862,-0.5117071529871029,-0.07932055078993017
2021-02-06,-2.946832118110584,0.20295498726108008,-1.2621747644084516,-0.5721515372946899,-0.08714769205892026
2021-02-08,-1.4674110917125445,1.1877054333014663,0.487972740828722,1.2999309770588288,-0.31751733789269565
2021-02-11,-2.566057497603182,-0.06602527426910099,0.6681977239615278,-0.5042814774099331,-0.01622503000510278
2021-02-12,-1.8605411672337988,0.3891711057291316,0.8654787358259264,0.6071705905782545,0.3409995337588043
2021-02-14,-2.5108702722474585,-0.22970066242449194,0.24951038679093207,-0.7099939566348574,-0.30285908283485696
2021-02-18,-2.243353211438397,0.024480598596519965,-0.8257748343480991,0.6586096690519101,0.28857015363030314
2021-02-20,-1.8324247980663424,0.06906972694905389,0.954227408358745,0.2749454936417115,0.14901895159175638
2021-02-21,-1.0407445463097806,1.524628833710864,0.12417552450991698,1.0200569724184043,-0.2347256001102096
2021-02-22,-2.3239535594838063,0.8345510835509855,-1.4345805144453683,0.5189566765472655,-0.3659317205805337
2021-02-24,-1.6208474759629357,0.4243705850959121,0.6051060193145084,0.38845683965999656,-0.04926937265815923
2021-02-25,-1.7397945542253577,1.5700601798037797,-0.9622243000718174,1.5890787305966354,0.019900684063031804
2021-03-01,-3.616078795024954,-0.05151190947174111,-0.6549711787720964,-0.13842868988523138,0.10691256932875604
2021-03-02,-3.3671550162289337,-0.21113542321109202,-0.31376132266154855,-0.029481331981696002,0.03503750470827072
2021-03-05,-1.7340928541934695,1.0362105669296953,-0.02539636917866739,1.0344265586235268,-0.01503471725527561
2021-03-10,-2.2510122557977916,0.5173563573499207,-0.5578894214599228,0.15245006352558166,0.06743406300859078
2021-03-14,-1.4779793401811034,1.336696109753859,1.3073832989351741,1.1423459749613252,-0.14120026313912604
2021-03-17,-1.5598451900762476,1.8396099236827879,0.1688182975117578,1.407286287757562,-0.14446289287627678
2021-03-20,-2.340760861452676,1.3022810813094656,-1.0396677210463183,1.077387932007396,-0.040530950577249314
2021-03-22,-1.2332026514739534,1.755821403135094,0.31967911532421,1.5774491512225817,-0.43667529835465757
2021-03-27,-2.207438741831622,0.2449633428659861,0.2287689982577117,0.49869749515424777,-0.27169743694537374
2021-03-28,-1.761820902578429,1.7706361969271942,0.6687734654135324,1.6714580127229663,-0.20604355397949803
2021-03-30,-2.746022880236157,-0.16809263654380935,-0.35086501661226066,-0.19485087206523888,0.08325204496941296
2021-03-31,-3.276805314976405,-0.22685972871517812,-0.5552146292706022,-0.5459208904289206,0.1155725011950608
2021-04-02,-1.4442579882207127,1.2403462814712558,0.6415473463542694,0.5888962086716891,0.14169903318997967
2021-04-03,-2.033220689129106,0.2793051934221902,-0.5194785265891229,0.16545531469566788,0.2674536299175543
2021-04-04,-2.4761800544690766,-0.6270699165047673,-0.9978176092675026,-0.6768229418466736,-0.013791561372954675
2021-04-13,-2.2217128449491588,-0.44827978003077273,0.3557284497010418,-0.14806035483474322,0.06549848832435146
2021-04-17,-2.2126608848471365,-0.06835708534239071,0.9691270233029807,0.30234135450540034,-0.004521409262906673
2021-04-18,-1.6847485279049939,-0.14968660067412176,0.6633806829945867,0.2680410360598864,0.06387573353492826
2021-04-19,-2.244978522252025,-0.1772721530077892,0.44181885984170854,-0.24110597565959013,-0.21115094295737435
2021-04-21,-1.2926335173880295,0.6246270597682758,0.33359777806041935,1.2104772080306492,0.23496335988909323
2021-04-23,-1.3084898014959514,-0.31525832113400676,0.6323433640684419,-0.5624806862258245,-0.11457472715608219
2021-04-24,0.5870801348836023,1.2954773092512266,1.0455340382181333,1.541297025024771,0.1893167085145251
2021-04-29,-2.683236555168662,0.09459880444631352,-0.5119904456542708,0.48499427527554184,-0.008576384376397073
2021-04-30,-1.875460938093439,0.3023345299672109,0.8645144740676765,0.43005308429033184,0.11344267665037933
2021-05-03,-3.1437112432617518,-1.3748090923379743,0.27160556239597167,-1.0883066169107969,-0.09130153248929673
