date,ccf_fwhm_obs,ccf_fwhm_sid,ccf_contrast_obs,ccf_contrast_sid,ccf_area,ccf_rv_fit,ccf_rv_top,ccf_rv_bottom,ccf_bis,ccf_curv
2022-05-17,6744.020015236501,6786.96869606109,0.537948871797233,0.5345446724514816,3861.820305445136,602.2294261199982,575.0984634517744,601.0837192514305,-25.9852557996561,3.633765099080165
2022-05-18,6745.530191856379,6788.410031176785,0.5377751968080022,0.5343782726499561,3861.438021196158,603.4549363629403,577.4083946623684,602.3690876231199,-24.96069296075143,3.917392832519454
2022-05-19,6747.854686010551,6790.657142578069,0.5375190989554047,0.5341310413044016,3860.9291465705414,603.5731937097919,578.6187508249473,602.4685237756674,-23.849772950720194,3.9277223345100083
2022-05-20,6750.041942974954,6792.772228605652,0.5374632906960569,0.5340823500205042,3861.779639008348,602.1696608344214,577.5166698896021,601.133610885795,-23.616940996192852,3.961531720124867
2022-05-21,6747.894533731605,6790.585152323046,0.5373881451145697,0.53400972752256,3860.0113164873896,601.115925204548,577.7296302071163,600.118461677945,-22.388831470828677,3.9217659746708478
2022-05-22,6746.659658126327,6789.284256452644,0.5375553909303779,0.5341805016561842,3860.5060201765796,599.3586137026882,575.8564741662844,598.3613181488108,-22.50484398252638,3.3840821569889386
2022-05-23,6743.948319367437,6786.5672780236555,0.5377967926674703,0.5344194830007168,3860.687518267557,597.629296407442,574.1606919994778,596.5296591561013,-22.368967156623512,4.275545241803002
2022-05-24,6742.576755921265,6785.137154342386,0.5379482425059564,0.534573912553563,3860.9893369677543,597.3456873255435,572.2353018451957,596.3021734474772,-24.06687160228148,3.6443083434621713
2022-05-25,6741.653440388156,6784.184165789172,0.5381450701164131,0.5347713851391614,3861.8731081227943,597.4128416970503,571.4548759734587,596.3223646154281,-24.86748864196943,3.2400808531425582
2022-05-26,6740.809247643137,6783.304096306062,0.5382333257975308,0.5348614964647482,3862.022789799968,597.5131868684017,570.848157699583,596.4024300071975,-25.554272307614497,3.5879737808757
2022-05-27,6740.864498112999,6783.314499725598,0.538322695405696,0.5349538704324481,3862.695709724874,598.4300274889994,572.4862451466429,597.2777474481275,-24.79150230148457,3.868608875922064
2022-05-29,6739.806460617883,6782.187259422521,0.5383993283161521,0.5350349573931555,3862.6392135516576,597.1823452341991,570.7175434133572,596.0711731594411,-25.35362974608381,3.5531873207602303
2022-05-30,6739.877435385199,6782.223707276263,0.5384526167637029,0.535090672083897,3863.0622012074323,597.3610368451831,570.944131209329,596.235652624931,-25.291521415602006,3.715666081161203
2022-05-31,6739.88415581553,6782.19893336738,0.5384193390292668,0.5350600900917948,3862.827305864472,596.9500301401144,570.2263025293903,595.7934660574018,-25.56716352801152,3.648006512240727
2022-06-01,6740.215375580193,6782.499166167634,0.5385378378307036,0.5351804586994485,3863.867335457026,596.6321203957343,569.0445750116332,595.4332264627617,-26.388651451128453,3.4961179200423658
2022-06-03,6739.901172701653,6782.1341757366135,0.5386031117444127,0.5352491782680862,3864.1555181753865,595.8560969221127,568.7281914796696,594.6627480264142,-25.934556546744602,3.818590156599953
2022-06-04,6739.395898098084,6781.623691934575,0.5385683629620363,0.5352148071130048,3863.6165484254534,595.9562863045409,568.202283766106,594.804573935705,-26.602290169598973,3.7635630996325062
2022-06-05,6740.715987475183,6782.892957390161,0.5384265344521646,0.5350785235241324,3863.3556823359972,595.5605256546613,568.4969593531567,594.3858744473276,-25.888915094170898,3.3052520975215884
2022-06-06,6740.73534717744,6782.907588514776,0.5384269472282363,0.5350793163096782,3863.3697398914614,596.0969187140389,568.9450497920238,594.8940216748686,-25.948971882844717,3.37473869583539
2022-06-09,6740.875774986564,6782.999768219817,0.5384077372345262,0.5350641009887667,3863.312384210687,597.9670692707209,570.7591124087745,596.7555383150116,-25.99642590623705,3.54728232618686
2022-12-06,6746.69963883536,6791.28486738829,0.5378792736344561,0.5343480610852616,3862.8549062792877,598.5371506281155,573.1647333511778,597.4321385965013,-24.267405245323516,4.413045301793886
2022-12-07,6747.669424799862,6792.244176672215,0.537826944489751,0.534297403740431,3863.0342987775803,599.3842730059577,574.5863248409981,598.3127431445358,-23.726418303537685,3.7733851613718343
2022-12-08,6747.607011317264,6792.225147926669,0.5376470402414324,0.5341152360731832,3861.7063859426885,597.405348127448,573.1090557100031,596.4092577719153,-23.300202061912273,3.9789129155383307
2022-12-09,6747.164633277514,6791.794955338202,0.5377893106643102,0.5342553832867061,3862.475014927545,595.3765014671702,571.4360177302044,594.4020023276095,-22.965984597405054,3.7192932162929537
2022-12-10,6745.636655583819,6790.294922833129,0.537887886064024,0.5343503164534259,3862.3081317896185,595.4062082358042,571.8578387043242,594.4386220038726,-22.580783299548443,3.673471177148258
2022-12-15,6745.5116663151,6790.301215006757,0.5381407579532993,0.5345911243040518,3864.0522823601873,596.0955511131717,570.6937738465137,595.0700448769812,-24.37627103046748,4.080006638098553
2022-12-16,6746.078283944545,6790.875328745428,0.538031502175851,0.5344822953151045,3863.592296369789,596.511826091751,572.1439418810103,595.5372747419011,-23.393332860890837,3.9850019420334775
2022-12-19,6743.456419338563,6788.411750281055,0.5380896354973531,0.5345262102764969,3862.5080023402747,595.3031544179304,569.2866675257274,594.2818786089492,-24.995211083221875,3.711889277484488
2022-12-21,6743.8016591692785,6788.84157167479,0.5381621586855823,0.5345917739174197,3863.2263600072283,596.5669478092332,570.0355761611665,595.4552897910041,-25.419713629837588,3.992699857868729
2022-12-23,6744.14578131215,6789.278046583542,0.5380085250124143,0.5344320705937666,3862.320568430933,597.4593052772707,571.6420043776059,596.4154843026005,-24.773479924994604,4.147669195619073
2022-12-26,6743.532337734724,6788.815996134338,0.5381498872586238,0.5345602487006946,3862.9839900541865,593.4081247436803,568.9658228256153,592.442304048498,-23.47648122288274,3.4495005166370447
2023-01-03,6745.174335917521,6790.893694895446,0.5377899241504603,0.5341692798433012,3861.3400561619223,597.7304308893355,572.4027123422138,596.7037616019588,-24.301049259745014,4.248676235096696
2023-01-04,6745.313571184411,6791.1271754405825,0.5376496523942618,0.5340226155612103,3860.41258854181,597.505776315041,572.7721844388059,596.5122267581718,-23.740042319365898,4.433565706379454
2023-01-07,6745.251197528366,6791.281756472956,0.5378193532283269,0.5341740729516365,3861.5953599783943,597.8134789635617,573.5375676657304,596.7654563525646,-23.22788868683415,3.8926944433211474
2023-01-19,6752.587767673881,6799.509596206998,0.5370582213759406,0.533352107954208,3860.324535142608,601.5522100425346,578.2457423225425,600.5677446480909,-22.322002325548397,3.812672204058117
2023-01-20,6751.338943310831,6798.353870369626,0.5371182209551256,0.5334037079330517,3860.0417979107365,598.6878078212344,577.0082467520026,597.7855583434329,-20.777311591430248,4.453753862557846
2023-01-21,6749.110402598943,6796.21853673023,0.5372870669466426,0.5335628501516799,3859.9806660118725,596.2000429491582,575.2447488221198,595.2867791882164,-20.042030366096583,3.82455820137136
2023-01-22,6744.518212710427,6791.719900661108,0.5376547737811108,0.5339181336916484,3859.9941647373685,595.9541206194579,574.4452836284444,594.9724590656356,-20.527175437191204,4.049289631795659
2023-01-24,6739.999338643041,6787.39060592542,0.5382382414305509,0.5344801267378493,3861.594034564739,594.8905620866915,570.1965413735519,593.8612982796348,-23.664756906082857,3.9356126579326656
2023-01-25,6740.098005225317,6787.560694158701,0.538303883082117,0.5345397399818796,3862.1215176695173,594.8238994233802,568.9360352568729,593.7425374415609,-24.806502184688043,3.720489455645861
2023-01-26,6739.698565613121,6787.234148704896,0.5383666125781259,0.5345960677162063,3862.3426692085104,594.8720146672023,568.5799902858275,593.8261589591149,-25.246168673287343,3.11026682274246
2023-01-27,6738.59368900624,6786.1934467224755,0.538398916633787,0.5346224758076227,3861.9412110387025,595.9965459384431,569.3794839488381,595.004742726967,-25.62525877812891,3.306530356433086
2023-01-29,6739.9187906149855,6787.656649434926,0.5382446262475836,0.5344591304122075,3861.5936929978416,596.0397491679329,569.9332078904813,594.9470288662409,-25.013820975759586,3.749577765072445
2023-01-30,6741.01577366918,6788.81391229273,0.5381002262600955,0.534311613176804,3861.186047518943,596.6553719552797,570.6926255607893,595.560935237697,-24.868309676907643,3.459148711072771
2023-02-04,6739.542503767821,6787.659380707242,0.5380466755561735,0.5342325292911168,3859.957999475065,598.4112329863666,573.4886635368807,597.3541336438765,-23.865470106995758,4.306789384929289
2023-03-03,6741.046051689637,6789.911486670855,0.5381260262760789,0.5342532567414074,3861.3885216061976,595.6180784052825,569.3069335098107,594.5690125699501,-25.2620790601394,3.872166694542557
2023-03-04,6741.6491833814525,6790.49215281221,0.5381146511805699,0.5342440749592321,3861.652375258707,597.8592621367235,571.6617822310047,596.7945618364356,-25.13277960543087,3.886057018424708
2023-03-08,6745.028123807534,6793.762164644014,0.5377094763430216,0.5338522975158561,3860.678751637077,598.0621978421262,574.2033872221217,597.0618498078069,-22.858462585685174,4.093639456310029
2023-03-09,6743.2147776432685,6791.932048044297,0.5377482260056814,0.5338910575963574,3859.918981788974,597.8946339936143,574.0699256330779,596.9316891203779,-22.86176348729998,3.918945002213377
2023-04-01,6739.855979325661,6787.205819031527,0.5381299591081289,0.5343757827969808,3860.7350429711473,594.2027792945931,568.5939546168556,593.1399547707897,-24.546000153934074,3.776218594714237
2023-04-02,6739.925767940617,6787.182083134727,0.5380657032875797,0.5343193764381968,3860.314020594119,595.7642926209305,570.1505459762282,594.8052026725582,-24.654656696329994,3.9375437156124917
2023-04-03,6742.596379070654,6789.743851258726,0.5378473193873485,0.534112547930905,3860.276221115793,594.9708583555747,569.8173041345776,593.9765939259429,-24.159289791365268,3.969156618802458
2023-04-04,6742.301620082824,6789.351707349933,0.5379160311931656,0.5341882826096569,3860.6006072085297,594.147642071544,569.5491103583505,593.1486024803172,-23.599492121966705,4.0781276863796165
2023-04-06,6741.579952419285,6788.444360294653,0.538030302219187,0.5343159797331716,3861.0074152641855,594.4130343681085,569.1635040638628,593.3769277489893,-24.213423685126486,3.892620652351411
2023-04-08,6741.536419073441,6788.22666120207,0.538010038108976,0.5343095401437985,3860.8370648854657,595.5756796454215,569.1481183084743,594.5308571999725,-25.382738891498207,3.5445005475273774
2023-04-09,6742.090392873841,6788.657176029032,0.5380069217729485,0.5343164641445008,3861.131957213623,596.2640319810345,570.2222572382814,595.2274390771069,-25.00518183882548,3.775006351324123
2023-04-10,6743.322735726845,6789.8209242928415,0.5379183470862816,0.5342345638149971,3861.20191535558,596.5252597467367,570.898697856225,595.4822074609402,-24.583509604715232,4.1083197793906265
2023-04-13,6745.896718804974,6792.051270092909,0.5375392281925986,0.533886446302371,3859.95339754102,597.1114786056098,572.9109942899265,596.153281572845,-23.242287282918483,4.0647006329720625
2023-04-14,6745.1818431623815,6791.250946229063,0.5377195263344756,0.5340718542817406,3860.838895775584,596.6573165972522,572.379026215488,595.6950922366374,-23.316066021149368,4.397727527722509
2023-04-15,6745.9601170870965,6791.929428260282,0.5377253099602025,0.5340858637085371,3861.325899224367,597.5549369082896,572.3302641276875,596.5593428880319,-24.22907876034435,4.127668361585393
2023-04-16,6746.217801639003,6792.091168986794,0.5377539630744779,0.5341220057763361,3861.679157140214,597.9698990487983,572.3530240346063,596.9717980003431,-24.618773965736864,4.007978732545439
2023-04-17,6746.383903788864,6792.148574813105,0.5376641405155812,0.5340414249284292,3861.1291945318635,597.7215421243102,572.4956516262857,596.7173176952659,-24.2216660689802,3.7294354897154562
